seed,delayed_reward,immediate_reward,policy_loss,delayed_value_loss,immediate_value_loss,entropy,Unnamed: 7
10309,-0.0016001456394269273,-0.0526566644562334,0.1014664919894226,7.341535770111717e-05,0.979414240430767,0.42472133373250404,
24933,-0.0015044902700002466,-0.1700279988211022,0.07789180483712274,6.940193416579647e-05,1.394099566626019,0.36940116079940816,
36312,-0.01817896202453593,-0.1732370259848708,0.06999272655044736,0.0008552357597482031,1.644863399242197,0.42241040696278803,
68068,-0.007388699652065048,-0.013649425287356234,0.11509472621476335,0.0001685873124752552,1.0005669978971796,0.4805096766033648,
93183,-0.0006914035160446402,-0.13572014073091654,0.05292486018154545,6.57027928632172e-05,0.989868784567694,0.3619709257996179,
74961,-0.01415904207704571,-0.15266725611553192,0.07745677259257415,0.000493871030015493,1.1565120926770776,0.3627915727760178,
61622,-0.0036496441661155094,0.12259615384615384,0.1795824419639399,0.00011267654404269232,0.8885594811210904,0.5571795606062326,
56406,-0.003950382743184341,-0.24706841290893014,0.05176829785579853,0.00012564271086142176,1.8612994368605569,0.48310730001163693,
21502,-0.006999571188102676,-0.1326329022988505,0.07035663667528957,0.0001339503023934549,1.2220919301068849,0.4055210536349545,
93712,-0.006560767818547895,0.107393899204244,0.1777313652383715,0.00021540149208871222,1.1061194154770697,0.5822013036282215,
45906,-0.0002394285305189738,-0.7561385573239022,-0.03484756040945153,0.00011137819655531897,2.750430268734351,0.472075579177216,
66271,-0.011078455809251767,-0.7855830631692701,-0.057808975794103,0.0006303260078618037,2.6727693304617146,0.44315272948707135,
50142,-0.004673995186070086,-0.3240140546713823,0.036823256518699304,0.0002145838458808402,1.9122279768761914,0.4552469401744669,
65788,-0.003175305633654837,-0.18709106984969048,0.04266401108074627,8.205872900055261e-05,1.0754145010207874,0.44002328639163263,
51349,-0.005687841565022514,-0.0003387028440907534,0.13375180935113812,0.0001352516254542692,0.9620612564466432,0.4685845516897511,
21645,-0.003572639083325085,-0.2255581343943413,0.05847664979590344,7.194383022673217e-05,1.4943989002367335,0.3942454125136004,
32514,-0.003422306736613656,-0.06674648786717752,0.09477923368304514,9.356895561566113e-05,0.9815373565908877,0.4186963539706165,
21016,-0.002340293429327914,-0.06647570979467526,0.11019764972406423,5.562559314730251e-05,1.2383346475403882,0.3802558130508076,
54122,-0.003928962617144188,-0.07809515915119356,0.08356218573299276,0.00013984141566189654,0.8911892999395084,0.36532074790994723,
6550,-0.001858867511012124,-0.11713039714117299,0.08017467645585297,3.3521437455562944e-05,1.0008593392249603,0.3377529844203198,
55656,-0.0010944702669438663,-0.05666998231653401,0.11935807656699328,3.93832089746236e-05,0.39668172919524913,0.32169957187036624,
12698,-0.007810116057978786,0.05562002652519888,0.1521075495386631,0.0004655919152327852,0.7419479207575665,0.5115510996210428,
95495,-0.003088567033775892,-0.7141449307397584,-0.03555013797127339,0.00012115113963750557,2.386509489902451,0.44468233427551596,
64271,-0.002187561296882997,-0.2628411435307987,0.032662089403708794,8.880921030994606e-05,1.3268288630359768,0.37181232560445754,
38505,-0.008431996272793296,-0.02309948791629817,0.11904743494029399,0.0002590898158742719,1.1788950370429914,0.42079076848055685,
59446,-0.011824611144540411,-0.35983642793987614,0.01845395573880931,0.0004466327615114838,1.6997572169103101,0.25972338492401553,
8959,-0.002481093632010273,0.022172026967285523,0.12632150220089045,9.189158207760407e-05,0.6103504294701246,0.44290170276250973,
62447,-0.002021895722811657,-0.3522712201591512,0.02160777354043662,3.231406796237013e-05,1.5060358047485352,0.3074663037018652,
82679,-0.017490185119946638,-0.20162305666077213,0.04843355415235154,0.00036982517007403884,0.9875589655396245,0.27699748205159364,
18904,-0.003503617674187545,0.048275862068965524,0.17019395429865802,5.749483471092766e-05,0.7642755499430772,0.45124819936423466,
13163,-0.002408442316774513,-0.28677608311229,0.023217303782019475,6.894744587537383e-05,1.6445850026390285,0.42903740971363996,
35423,-0.0006073777004466659,-0.2785440613026819,-0.004043836506543913,2.1872316206324806e-05,1.0860702943939562,0.27175290472747854,
297,-0.0011653501349284758,-0.06289695697023276,0.060769875290587694,2.097468190194032e-05,0.5085809842321468,0.30640822822420755,
69249,-0.0006705010520024705,-0.1805371352785146,0.0814616448903879,2.5633635596404914e-05,0.5766936904869341,0.2600798968788957,
8231,-0.007201418072567745,0.09777928210040272,0.1739257038658732,0.0001269086376678597,0.7032899524640298,0.5385751136877943,
8554,-0.00037697146710451927,-1.109107905982906,-0.05716731409446739,4.8355447910207426e-05,3.1038906662127914,0.411401316210723,
24485,-0.009163646336053384,-0.7348027188328912,-0.02725385749031387,0.0003128499492804549,2.7160850628209157,0.3645818277593013,
92696,-0.006634707709350483,0.05245603693879553,0.14489455225558306,0.000215005939458265,1.0487771917740032,0.5499419498855989,
64695,-0.0016031941293382789,-0.6279271355241183,-0.042514010629430075,7.857426417440088e-05,2.243326179095265,0.4296420809951183,
75639,-0.004057279094096583,-0.10254752431476565,0.11447770896358052,9.530154114139893e-05,1.41453003140033,0.4888097363925983,
54339,-0.000913629151408986,-0.09748586243737105,0.09352805012080172,2.2630346581863125e-05,0.8821809189260306,0.34173845073708864,
13901,-0.0028992050655533724,-0.0068713773455152515,0.12259876672788884,8.824406466513375e-05,1.1224972626015675,0.4545945694961583,
88223,-0.0006514058508939749,-0.2790948275862069,0.01201304765792837,2.7230650582022535e-05,0.9050375306764725,0.3368306441243267,
83923,-0.014572394167833225,-0.005312407898614742,0.13284637421595172,0.0002680294344060053,0.7917195121493358,0.452462721131709,
57331,-0.012385903150203575,-0.22031203949307393,-0.013861643782550025,0.00023811055718641792,0.7840641374707182,0.31002026064783356,
67427,-0.004341973978288552,0.03614058355437663,0.13074332480402215,9.355412063717295e-05,0.8226559368645852,0.5127859025225241,
72343,-0.0034385010516613072,-0.1293530798703212,0.06938931867549243,5.7001767299116224e-05,1.1096275319426816,0.3736788005461203,
27594,-0.007242084778529137,-0.09116410010806557,0.08958393037062877,0.00019797894400704348,1.1607107130331369,0.3737279195276729,
95924,-0.01086693407792183,-0.19323054818744465,0.050906896018806026,0.000290223317290811,1.3438397345787767,0.36931269347369605,
43949,-0.0006653077192558703,-0.10514478337754193,0.051565554629359495,2.8045681594895684e-05,0.5625880207807966,0.3605998079410229,
80352,-0.004799522381830488,-0.04526667956086055,0.1081010806234908,8.180460212765286e-05,0.8671247577628203,0.3850535984306697,
94900,-0.0007986200483566185,-0.16817344532861767,0.04867040123867352,2.9110357402706952e-05,0.9747679419914357,0.3250373986130539,
68414,-0.004471464833303284,-0.058863653109342724,0.1007392915790434,0.00010656380745036552,1.097945972319584,0.4171781051791974,
76353,-0.0015532450461149645,0.10683023872679046,0.12121075796582842,7.732256313251783e-05,0.577947483684581,0.5054337628245038,
59166,-0.0038972046366139673,-0.3779281332891246,0.002469840347690636,7.7691399505616e-05,1.6812719053059328,0.3788419134610404,
82923,-0.0038525393858497583,0.03073116219667943,0.1305567872767618,7.332303960475687e-05,1.0065138411915138,0.4612391459480842,
85187,-0.002378077169106979,-0.3066580091364574,-0.00943433278686773,6.480449422567521e-05,1.217560716089484,0.28635641567715353,
51719,-0.0019261400616464946,-0.16834659593280277,0.049535422798972384,3.0235816804436653e-05,0.7279066897543338,0.27791993464201886,
23752,-0.01224885208500478,-0.03206859711170048,0.11293240743940389,0.0002431972517869971,0.8240976186223808,0.3348279110797961,
68268,-0.0030786995761971636,0.008142867668729728,0.11187586034462844,5.120172311470965e-05,0.6676996352580878,0.33835715743043615,
95834,-0.0040949323995020295,-0.12730713969938104,0.05928108348029128,8.333993140786153e-05,0.7220825450340489,0.3142340176827937,
29046,-0.0054158299540083615,-0.06251596424010217,0.09023214739502643,0.00012649080821745094,0.8254845254456022,0.32980553943201607,
5899,-0.0019280133899637114,-0.03571392388741524,0.13087887560491862,3.374310283944476e-05,0.8109215165081433,0.32727742819294614,
23787,-0.002937652427792428,-0.1204907161803713,0.09374492721789401,4.334773440709486e-05,0.6898579956112623,0.2616675276547641,
56854,-0.0007289433463911712,-0.013960113960113946,0.1121983608642879,9.923884385145362e-06,0.49414763423717684,0.3344190126468038,
57014,-0.002071160293250727,0.032172855879752375,0.1311132952394285,2.7651735681634718e-05,0.7351208727008883,0.3875048934954864,
81479,-0.005223194912748225,-0.015683023872678982,0.09669695828066778,9.255612448988528e-05,0.8054757471855937,0.3436148980071105,
4110,-0.004664416358151333,-0.13190576186265834,0.06125692203583295,0.00010351337896124668,1.0932895837929741,0.3105127096028337,
